zona,geografia_censo,hogares_censo,pct_propia_censo,pct_alquilada_censo,pct_otra_censo,hogares_alquilados_censo,hogares_eph,pct_propia_eph,pct_alquilada_eph,pct_otra_eph,hogares_alquilados_eph,dif_hogares_pct,dif_alquila_pp
CABA,CABA,1406735,52.503207782560324,36.80636367190694,10.690428545532741,517768,1258576.75,57.227479373029894,34.35918786836003,8.413332758610073,432436.75,-10.532065385449286,-2.447175803546905
Partidos del GBA,24 partidos,3614245,68.48489795240776,18.0053095459771,13.509792501615136,650756,4139986.75,72.17293026360531,15.253424422191689,12.573645314202999,631489.75,14.546378289241591,-2.75188512378541
Partidos del GBA,31 partidos,3974745,68.81311882900664,17.799934335410196,13.386946835583164,707502,4139986.75,72.17293026360531,15.253424422191689,12.573645314202999,631489.75,4.1572918514269475,-2.5465099132185074
Gran Córdoba,Depto. Capital,553470,52.90783601640559,34.31026071873814,12.78190326485627,189897,605438.0,53.10011099402416,29.87329008090011,17.02659892507573,180864.25,9.389488138471824,-4.436970637838034
Total del país,País,15932302,65.66588431477133,20.97597698060205,13.358138704626613,3341956,,,,,,,
