escenario,factor_sueldo_formal,hogares_elegibles,pct_elegible
Sin corregir (base),1.0,154793.1357999695,12.435303592919315
Corregido por la mediana,1.0758765131008152,182353.67538430987,14.649379011346303
Corregido por el promedio,1.1845134945614513,209131.08144146588,16.800541412900785
