insercion,muestra_hogares,cambio_absoluto_mediano_pct,pct_cae_mas_20,pct_sube_mas_20
Asalariado con aportes,770,23.44124016145981,26.017826527762132,31.242255290321484
Independiente con aportes,207,31.09711614531382,30.210825469396447,35.88084472137857
Sin aportes (informal o no ocupado),992,28.09323806537649,27.888711140570592,33.244600806311695
