m2,zona,pct_elegible
30,CABA,31.276702020768465
30,GBA Norte,26.33678440868307
30,GBA Oeste,38.14938954725608
30,GBA Sur,31.771262214301707
30,Gran Córdoba,36.381794105532045
30,Total,32.5046731464957
35,CABA,24.465959584630735
35,GBA Norte,20.781151997470133
35,GBA Oeste,30.66062532269819
35,GBA Sur,25.291628731528125
35,Gran Córdoba,31.34293905105756
35,Total,26.092616586520652
40,CABA,21.76595530652619
40,GBA Norte,16.291479369582426
40,GBA Oeste,25.916381337590792
40,GBA Sur,20.596767970751703
40,Gran Córdoba,26.333525926867903
40,Total,22.06990726979246
45,CABA,17.760377583194682
45,GBA Norte,13.381425132215734
45,GBA Oeste,21.565315156805635
45,GBA Sur,17.249211257076666
45,Gran Córdoba,21.343878981226275
45,Total,18.14986588202108
50,CABA,13.809085537809773
50,GBA Norte,10.757945074557114
50,GBA Oeste,17.740224259787986
50,GBA Sur,14.330329607172995
50,Gran Córdoba,17.660596745077115
50,Total,14.649874429271833
55,CABA,11.255172748705295
55,GBA Norte,8.92288887294026
55,GBA Oeste,15.606321670586777
55,GBA Sur,11.630141643817906
55,Gran Córdoba,15.022295696502077
55,Total,12.250749279004783
60,CABA,7.511773459333147
60,GBA Norte,7.243412463799466
60,GBA Oeste,13.524910005717041
60,GBA Sur,9.165126052897586
60,Gran Córdoba,10.996077173795852
60,Total,9.31083766675205
65,CABA,5.3798320901778185
65,GBA Norte,5.751750301749796
65,GBA Oeste,10.954664612439855
65,GBA Sur,7.3191671354842285
65,Gran Córdoba,9.106402859599314
65,Total,7.289477755561845
70,CABA,4.739330465076214
70,GBA Norte,4.418973032427857
70,GBA Oeste,8.537227975793186
70,GBA Sur,5.565657639187068
70,Gran Córdoba,7.387021775970409
70,Total,5.879381572898993
75,CABA,4.417200755258889
75,GBA Norte,3.792316027974598
75,GBA Oeste,6.788888748021495
75,GBA Sur,4.46079797823089
75,Gran Córdoba,6.380881820368287
75,Total,5.025583605506433
80,CABA,3.799419334026309
80,GBA Norte,3.0990445917322167
80,GBA Oeste,6.0246227055703665
80,GBA Sur,3.575407752139526
80,Gran Córdoba,4.411866341930009
80,Total,4.128471025957884
85,CABA,2.8517035527923884
85,GBA Norte,2.672790899654004
85,GBA Oeste,4.672414718405687
85,GBA Sur,2.934472073740923
85,Gran Córdoba,3.2217488783039236
85,Total,3.2109302017978165
90,CABA,2.4157415747355957
90,GBA Norte,2.1685621603532113
90,GBA Oeste,3.9519925610898636
90,GBA Sur,2.3738787774471124
90,Gran Córdoba,2.6178437449029524
90,Total,2.668391789766581
