segmento,nombre,hogares,muestra_hogares,ingreso_mediano,cobertura_mediana,edad_mediana,miembros_mediana,pct_formal,pct_2_perceptores,pct_caba,pct_gba,pct_falla_formal
0,"Dos ingresos, a un paso de calificar",174936.92076524164,269.0,3862285.9255077876,0.7897055492195607,43.0,3.0,73.21385321434275,95.17839627181046,39.384910685869094,49.070213646002195,6.8563285254665045
1,"Un ingreso, hogares jóvenes",151981.55903834902,387.0,2635981.492186324,0.7767352533493004,35.0,2.0,53.69845125084236,33.971413476454686,29.9302759412555,45.308989770905995,9.971275525720928
2,"Pueden pagar, pero sin recibo de sueldo",24493.5,30.0,7105689.239806613,1.7978902592445047,39.0,2.0,0.0,55.252413905730094,22.635597199256946,65.43470716720762,100.0
