etapa,hogares,pct_del_total,pct_de_etapa_anterior,muestra_hogares
Inquilinos,1244787.75,100.0,100.0,1504
Pagan la cuota,275350.0650022897,22.12024218605057,22.12024218605057,473
Juntan el anticipo,219882.47949652438,17.664254769258804,79.85561198058765,397
Ingreso demostrable,156403.07097965802,12.564637704673588,71.13030166740967,276
Cumplen la edad,154793.1357999695,12.435303592919315,98.97064989222756,273
