etapa,hogares,pct_del_total,pct_de_etapa_anterior,muestra_hogares
Inquilinos,1244787.75,100.0,100.0,1504
Pagan la cuota,318397.9050002686,25.578489585896758,25.578489585896758,536
Juntan el anticipo,315170.62383639906,25.31922601555157,98.98640000038102,533
Ingreso demostrable,227025.05722633997,18.238053614067134,72.0324294386604,364
Cumplen la edad,200951.5324804735,16.143437504142657,88.5151334991751,328
