pregunta,hogares_base,hogares,diferencia,diferencia_pct,por_que
Si los precios suben 20%,154793.1357999695,101398.52944655986,-53394.60635340963,-34.49416931666046,
"Si la tasa sube a 9,5%",154793.1357999695,136420.09136122584,-18373.044438743644,-11.869418074510808,
Si el banco exige cuota de hasta 20% del ingreso,154793.1357999695,114074.97718946377,-40718.15861050572,-26.304886453830566,
Si el anticipo hay que juntarlo en 6 meses de ingreso,154793.1357999695,18777.58179164158,-136015.55400832792,-87.86924129768468,
Si la edad máxima al terminar de pagar baja a 75,154793.1357999695,136628.66681754962,-18164.468982419872,-11.73467343273722,
