variable,odds_ratio,or_ic95_inf,or_ic95_sup,p_valor
educacion_Superior completo,3.1054819918282814,1.9977829343130078,4.827360488433699,4.785493405728092e-07
educacion_Superior incompleto,2.4533016577523536,1.5003311833480664,4.011573638361253,0.000347684301296666
tipo_hogar_Pareja sin hijos,2.452647787963149,1.5248853142205037,3.944874487085964,0.00021560639643043226
dos_o_mas_perceptores,2.411947345077449,1.4392935763816719,4.041906453894624,0.0008305799377960388
mercado_Gran Córdoba,1.3623335296237116,0.9599699973714113,1.9333444284914816,0.08341178717138817
edad_50-64,1.3564707638643971,0.7950677408436397,2.3142844800449818,0.263315539591395
tipo_hogar_Extendido o compuesto,1.2651260882681805,0.6083716155279125,2.630865705047533,0.5289812052949445
situacion_Cuenta propia / patrón,1.1968374695903685,0.7355061201633137,1.9475295845225842,0.4694806111429197
tipo_hogar_Unipersonal,1.0599670890122044,0.5474052747080801,2.0524651144221466,0.8628595182548467
edad_40-49,0.9990697595016824,0.6521529839269999,1.530531039420159,0.9965879227707749
tipo_hogar_Monoparental,0.9939297809020898,0.4744033687206398,2.082397542893114,0.9871266020961488
edad_Hasta 29,0.7816393158730571,0.45895917737412195,1.331185975219044,0.36446195997990694
edad_65+,0.7273357885800449,0.2857843796276753,1.8511065931544914,0.504150488785531
situacion_Asalariado informal,0.6754164133877184,0.4143190265077096,1.101053300203776,0.11551698457812483
jefatura_mujer,0.6635567109407619,0.4507111849401821,0.9769171996318637,0.0376815262345519
mercado_CABA,0.5748459839636014,0.3741303794922016,0.8832426431865551,0.011519471021518957
situacion_No ocupado,0.42444619342643086,0.19302031217072876,0.933345144291541,0.03304482822758027
educacion_Hasta secundario incompleto,0.3426134275696103,0.1805740076531638,0.6500601181564345,0.00104553689338906
