plazo_anios,ltv,tope_cuota_ingreso,hogares,pct_elegible
15,0.6,0.25,51747.38752505294,4.1571253834280535
15,0.6,0.3,51747.38752505294,4.1571253834280535
15,0.65,0.25,74202.38237029719,5.961046963251139
15,0.65,0.3,74202.38237029719,5.961046963251139
15,0.7,0.25,108813.27108757291,8.741512043926598
15,0.7,0.3,108813.27108757291,8.741512043926598
15,0.75,0.25,138438.61062760247,11.121463127155812
15,0.75,0.3,154886.0677634127,12.442769280418505
15,0.8,0.25,119324.84391068859,9.585959044880429
15,0.8,0.3,188339.2182474396,15.130227482351076
15,0.85,0.25,103686.67466805747,8.329667018980341
15,0.85,0.3,160458.07770790753,12.890396592343356
15,0.9,0.25,91093.62330283165,7.318004479304335
15,0.9,0.3,138438.61062760247,11.121463127155812
20,0.6,0.25,51747.38752505294,4.1571253834280535
20,0.6,0.3,51747.38752505294,4.1571253834280535
20,0.65,0.25,74185.25417348644,5.959670969889159
20,0.65,0.3,74185.25417348644,5.959670969889159
20,0.7,0.25,108764.60345977821,8.737602330981986
20,0.7,0.3,108764.60345977821,8.737602330981986
20,0.75,0.25,154793.1357999695,12.435303592919315
20,0.75,0.3,154793.1357999695,12.435303592919315
20,0.8,0.25,167594.30237123003,13.463685063676923
20,0.8,0.3,224388.30096381353,18.026229850335007
20,0.85,0.25,143882.73809897358,11.558817003057234
20,0.85,0.3,218339.04495923687,17.5402629853352
20,0.9,0.25,126456.2174036257,10.158857797534214
20,0.9,0.3,194261.80954117444,15.606018740236994
25,0.6,0.25,48139.877923313295,3.8673161688258335
25,0.6,0.3,48139.877923313295,3.8673161688258335
25,0.65,0.25,68400.9858452697,5.494991884782743
25,0.65,0.3,68400.9858452697,5.494991884782743
25,0.7,0.25,100859.49288659255,8.102545424839901
25,0.7,0.3,100859.49288659255,8.102545424839901
25,0.75,0.25,145604.46111742442,11.697131588692484
25,0.75,0.3,145604.46111742442,11.697131588692484
25,0.8,0.25,194828.14200878586,15.651515048150648
25,0.8,0.3,213699.92864295788,17.167579665124265
25,0.85,0.25,171510.6531373763,13.77830502729291
25,0.85,0.3,235794.80058713612,18.94257077860351
25,0.9,0.25,146664.3362746678,11.782276639103156
25,0.9,0.3,219606.155780125,17.64205630880646
30,0.6,0.25,44236.46665521794,3.553735699537366
30,0.6,0.3,44236.46665521794,3.553735699537366
30,0.65,0.25,63701.47948097673,5.117457131223916
30,0.65,0.3,63701.47948097673,5.117457131223916
30,0.7,0.25,95168.08926759218,7.645326624365653
30,0.7,0.3,95168.08926759218,7.645326624365653
30,0.75,0.25,136628.66681754962,10.976061325920794
30,0.75,0.3,136628.66681754962,10.976061325920794
30,0.8,0.25,200951.5324804735,16.143437504142657
30,0.8,0.3,200951.5324804735,16.143437504142657
30,0.85,0.25,181041.90803029534,14.543998206143604
30,0.85,0.3,243774.9613697205,19.583656841876895
30,0.9,0.25,160153.77033139128,12.865950065092726
30,0.9,0.3,220726.42691540095,17.732053268952956
