zona,muestra_hogares,hogares,hogares_elegibles,pct_elegible,ic95_inf,ic95_sup
GBA Oeste,546,219356.70385207393,35989.55382034256,16.406862971743312,13.081572640804733,20.29583089706256
Gran Córdoba,521,180864.5,28575.75,15.799535011016534,12.3812011084491,19.30082038812798
GBA Sur,546,208587.06184752833,24478.591410342306,11.735431331898962,8.901022042747202,14.754428216821596
CABA,437,432434.5,46636.5,10.78463906094449,7.462547664018652,14.337840068863953
GBA Norte,546,203544.98430039774,19112.740569284608,9.389934433892734,7.33745010398771,11.593241369973411
