agrupacion,tipo_hogar,jefatura,hogares,pct_de_inquilinos,muestra_hogares,ingreso_mediano,ingreso_por_persona_mediano,perceptores_promedio,pct_ingreso_demostrable,pct_pasan_cuota_y_anticipo,pct_elegible,ic95_inf,ic95_sup,muestra_chica
tipo_hogar,Extendido o compuesto,Todas,110536.0,8.879907438035119,143,2337231.197675826,698855.4855869825,2.317665737859159,34.75360968372295,16.64799427472852,8.74599194367093,3.980394553435965,15.245921278086222,False
tipo_hogar,Monoparental,Todas,170796.25,13.720913464966216,231,1775318.3706443505,687647.3457877367,1.3782913852031295,46.219984338063625,11.103633073697818,4.59223246637808,1.681133199485311,8.69133248185543,False
tipo_hogar,Pareja con hijos,Todas,486708.25,39.09969792038844,405,2536169.1009205007,706913.1353440726,1.914731772062627,67.06774541010965,16.85335988323015,12.59094562737007,9.322173382259829,16.14229205621346,False
tipo_hogar,Pareja sin hijos,Todas,178353.5,14.328024998639327,237,2784644.0269451984,1392322.0134725992,1.8845705298746591,73.69227405125214,38.045165831715266,32.88911479355436,25.81515517063488,40.2456108456324,False
tipo_hogar,Unipersonal,Todas,298393.75,23.971456177970904,515,1549881.1172291948,1549881.1172291948,0.9835670150597994,44.7113922459837,10.936651939202836,5.811866644831113,3.7389949182673567,8.333416705371047,False
jefatura,Todos,Mujer,542450.25,43.577730420306594,760,1972575.9673826115,834725.4277413664,1.5799624020820342,51.26677515587835,14.199189773293915,10.203465661630114,7.818551061853622,13.021264792391044,False
jefatura,Todos,Varón,702337.5,56.422269579693406,756,2395270.8175360286,1056737.125383542,1.7029807606741774,61.30008720878495,20.340497136108652,14.159063243781336,11.62740784616083,16.864764766727642,False
tipo_hogar × jefatura,Extendido o compuesto,Mujer,45118.25,3.624573747612796,82,2043407.847110865,651654.5606531842,2.1340200473200976,28.137172873504625,7.926014797015147,3.5470924066355294,1.047313594426827,6.498143068713108,False
tipo_hogar × jefatura,Extendido o compuesto,Varón,65417.75,5.255333690422323,62,2869235.6669847653,798396.0116827174,2.4443251258259417,39.31692850946418,22.6634938993769,12.331643376758242,4.94912754641303,23.219457609527165,False
tipo_hogar × jefatura,Monoparental,Mujer,138540.0,11.12960824044099,194,1669450.8554827329,611242.0851446548,1.3457214522881478,44.45719647755161,5.536210154273062,1.9267747581084105,0.5969524674463951,3.8455489655249817,False
tipo_hogar × jefatura,Monoparental,Varón,32256.250000000004,2.5913052245252257,39,3240660.517842862,1403946.664316629,1.5181786475489245,53.79112575082349,35.01561203148446,16.040324259555526,3.4536102292475115,30.995502823124752,True
tipo_hogar × jefatura,Pareja con hijos,Mujer,178910.5,14.372771582946571,166,2536169.1009205007,686879.1314993022,1.9124436519935946,61.09451373731559,20.046499189477586,14.843827228116675,8.884948678847497,21.222674528519445,False
tipo_hogar × jefatura,Pareja con hijos,Varón,307797.75,24.726926337441864,240,2522432.399410085,727974.4641531067,1.9160617645840492,70.53974566090882,14.997315939275454,11.281435815714932,7.85000751340801,15.076408000013734,False
tipo_hogar × jefatura,Pareja sin hijos,Mujer,56750.25,4.559030244312735,88,3240660.517842862,1620330.258921431,1.933180911097308,75.31817040453566,43.24704154963183,38.311574467580726,27.13148679452181,49.11011918780554,False
tipo_hogar × jefatura,Pareja sin hijos,Varón,121603.25,9.768994754326592,151,2564348.757597395,1282174.3787986976,1.8618848591628925,72.93349478735149,35.61753542331176,30.35854145677335,22.193529371199812,39.66275558681582,False
tipo_hogar × jefatura,Unipersonal,Mujer,123131.25000000001,9.891746604993504,245,1352623.5204909337,1352623.5204909337,0.9946033196284453,42.038881275062174,4.360793523100645,2.257676599797834,0.8672120332358417,3.901304402488237,False
tipo_hogar × jefatura,Unipersonal,Varón,175262.5,14.079709572977402,274,1621741.8987305195,1621741.8987305195,0.9758134227230583,46.588973682333645,15.556543054516627,8.308874635602121,4.405916061502036,12.332774042318722,False
