trimestre,eph_media,sipa_media_neta,cobertura_media,eph_mediana,sipa_mediana_neta,cobertura_mediana
2T-2025,1163575.7260437782,1358222.5742,0.856690021316374,950000.0,1039694.0967,0.913730301071546
3T-2025,1212485.809665364,1453593.1017,0.834130134662405,1000000.0,1115885.6897,0.8961491389578128
4T-2025,1336810.1769481553,1531374.9331999999,0.8729476681159478,1100000.0,1156706.2766,0.9509760794532202
1T-2026,1417837.122520436,1743643.9637999998,0.8131460045492782,1200000.0,1253861.7855,0.9570432833005421
