tramo_edad_jefe,muestra_hogares,hogares,hogares_elegibles,pct_elegible,ic95_inf,ic95_sup
50-64,245,190458.25,31812.36918058182,16.70306703993228,11.60049823669371,22.524467601909624
30-39,461,390465.5,54664.280032423936,13.999772075234288,10.86578135972857,17.046218055537082
40-49,357,335889.75,39973.95253971014,11.900914672064312,8.40374173672955,15.389767353554314
18-29,326,242850.5,28342.534047253575,11.6707744259343,6.742090242610835,17.313612875503136
65+,134,85123.75,0.0,0.0,0.0,0.0
