mes,sueldo_bruto_mediano,sueldo_usd_bna,sueldo_real_ago26
2017-11,20992.0,1186.0,2123973.0
2018-05,23688.0,1004.0,2078965.0
2019-11,39828.0,667.0,1783094.0
2023-09,342177.0,978.0,1822021.0
2023-11,404395.0,1144.0,1762670.0
2024-05,826588.0,914.0,1671081.0
2025-05,1252643.0,1074.0,1764953.0
2026-05,1608683.0,1132.0,1702124.0
